                                     | Core 0     
  Instructions                       |  5733196222
  Cycles                             |  5900759928
  IPC                                |        0.97
  Time (ns)                          |  2218330800
  Idle time (ns)                     |         682
  Idle time (%)                      |        0.0%
Branch predictor stats               |            
  num correct                        |   725000530
  num incorrect                      |    52265052
  misprediction rate                 |       6.72%
  mpki                               |        9.12
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   917891161
    num misses                       |     7280743
    miss rate                        |       0.79%
    mpki                             |        1.27
  D-TLB                              |            
    num accesses                     |  2511788528
    num misses                       |    10236136
    miss rate                        |       0.41%
    mpki                             |        1.79
  L2 TLB                             |            
    num accesses                     |    17516879
    num misses                       |     1176902
    miss rate                        |       6.72%
    mpki                             |        0.21
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   917891161
    num cache misses                 |   120966783
    miss rate                        |      13.18%
    mpki                             |       21.10
  Cache L1-D                         |            
    num cache accesses               |  2521109802
    num cache misses                 |     6230039
    miss rate                        |       0.25%
    mpki                             |        1.09
  Cache L2                           |            
    num cache accesses               |   127641151
    num cache misses                 |     4757632
    miss rate                        |       3.73%
    mpki                             |        0.83
  Cache L3                           |            
    num cache accesses               |     5201978
    num cache misses                 |     3312104
    miss rate                        |      63.67%
    mpki                             |        0.58
DRAM summary                         |            
  num dram accesses                  |     4915596
  average dram access latency (ns)   |       92.91
  average dram queueing delay        |       39.48
  average dram bandwidth utilization |       1.00%
Coherency Traffic                    |            
  num loads from dram                |     2133912
  num loads from dram cache          |           0
  num loads from remote cache        |           0
