                                     | Core 0     
  Instructions                       |  5686548084
  Cycles                             |  5735946594
  IPC                                |        0.99
  Time (ns)                          |  2156370900
  Idle time (ns)                     |         575
  Idle time (%)                      |        0.0%
Branch predictor stats               |            
  num correct                        |   722421725
  num incorrect                      |    48123600
  misprediction rate                 |       6.25%
  mpki                               |        8.46
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   918521145
    num misses                       |        1519
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |  2501847024
    num misses                       |     9891819
    miss rate                        |       0.40%
    mpki                             |        1.74
  L2 TLB                             |            
    num accesses                     |     9893338
    num misses                       |      289612
    miss rate                        |       2.93%
    mpki                             |        0.05
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   918521145
    num cache misses                 |   119189143
    miss rate                        |      12.98%
    mpki                             |       20.96
  Cache L1-D                         |            
    num cache accesses               |  2502047087
    num cache misses                 |     6041275
    miss rate                        |       0.24%
    mpki                             |        1.06
  Cache L2                           |            
    num cache accesses               |   126103477
    num cache misses                 |     4557327
    miss rate                        |       3.61%
    mpki                             |        0.80
  Cache L3                           |            
    num cache accesses               |     5430404
    num cache misses                 |     3044973
    miss rate                        |      56.07%
    mpki                             |        0.54
DRAM summary                         |            
  num dram accesses                  |     4779221
  average dram access latency (ns)   |       89.52
  average dram queueing delay        |       36.09
  average dram bandwidth utilization |       1.00%
Coherency Traffic                    |            
  num loads from dram                |     2195311
  num loads from dram cache          |           0
  num loads from remote cache        |           0
