                                     | Core 0     
  Instructions                       |  5686547989
  Cycles                             |  5980148692
  IPC                                |        0.95
  Time (ns)                          |  2248176200
  Idle time (ns)                     |         489
  Idle time (%)                      |        0.0%
Branch predictor stats               |            
  num correct                        |   723022928
  num incorrect                      |    47522381
  misprediction rate                 |       6.17%
  mpki                               |        8.36
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   918521138
    num misses                       |     4280524
    miss rate                        |       0.47%
    mpki                             |        0.75
  D-TLB                              |            
    num accesses                     |  2502446982
    num misses                       |     9799374
    miss rate                        |       0.39%
    mpki                             |        1.72
  L2 TLB                             |            
    num accesses                     |    14079898
    num misses                       |      354967
    miss rate                        |       2.52%
    mpki                             |        0.06
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   918521138
    num cache misses                 |   130717068
    miss rate                        |      14.23%
    mpki                             |       22.99
  Cache L1-D                         |            
    num cache accesses               |  2502647045
    num cache misses                 |     5729212
    miss rate                        |       0.23%
    mpki                             |        1.01
  Cache L2                           |            
    num cache accesses               |   137320905
    num cache misses                 |     4567396
    miss rate                        |       3.33%
    mpki                             |        0.80
  Cache L3                           |            
    num cache accesses               |     5442036
    num cache misses                 |     3045788
    miss rate                        |      55.97%
    mpki                             |        0.54
DRAM summary                         |            
  num dram accesses                  |     4780754
  average dram access latency (ns)   |       96.63
  average dram queueing delay        |       43.20
  average dram bandwidth utilization |       1.00%
Coherency Traffic                    |            
  num loads from dram                |     2202525
  num loads from dram cache          |           0
  num loads from remote cache        |           0
